Title:,"Time Series, Area-Averaged of Combined Dark Target and Deep Blue AOD at 0.55 micron for land and ocean: ()"
User Start Date:,2002-01-01T00:00:00Z
User End Date:,2018-12-31T23:59:59Z
User Bounding Box:,"114,30,115,31"
Data Bounding Box:,"114.5,30.5,114.5,30.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2002-01-01T00:00:00Z&endtime=2018-12-31T23:59:59Z&bbox=114,30,115,31&data=MOD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean%2CMYD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean&variableFacets=dataFieldDiscipline%3AAerosols%3BdataProductPlatformInstrument%3AMODIS-Aqua%2CMODIS-Terra%3B&portal=GIOVANNI&format=json"
Fill Value (mean_MOD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean):, -9999

time, mean_MOD08_D3_6_1_AOD_550_Dark_Target_Deep_Blue_Combined_Mean
2002-01-01,0.710000034
2002-01-02,0.437000021
2002-01-03,0.692000033
2002-01-04,0.557000026
2002-01-05,0.513000024
2002-01-06,-9999
2002-01-07,0.175000008
2002-01-08,0.458000022
2002-01-09,0.447000021
2002-01-10,0.740000035
2002-01-11,0.450000021
2002-01-12,0.822000039
2002-01-13,-9999
2002-01-14,1.66100008
2002-01-15,-9999
2002-01-16,-9999
2002-01-17,-9999
2002-01-18,-9999
2002-01-19,-9999
2002-01-20,-9999
2002-01-21,0.0690000033
2002-01-22,0.275000013
2002-01-23,0.195000009
2002-01-24,-9999
2002-01-25,-9999
2002-01-26,-9999
2002-01-27,0.63200003
2002-01-28,0.993000047
2002-01-29,-9999
2002-01-30,0.779000037
2002-01-31,-9999
2002-02-01,0.768000036
2002-02-02,0.600000028
2002-02-03,-9999
2002-02-04,-9999
2002-02-05,0.913000043
2002-02-06,0.953000045
2002-02-07,0.83800004
2002-02-08,-9999
2002-02-09,-9999
2002-02-10,0.496000024
2002-02-11,0.490000023
2002-02-12,0.681000032
2002-02-13,-9999
2002-02-14,-9999
2002-02-15,1.00700005
2002-02-16,-9999
2002-02-17,-9999
2002-02-18,0.441000021
2002-02-19,-9999
2002-02-20,-9999
2002-02-21,-9999
2002-02-22,-9999
2002-02-23,-9999
2002-02-24,0.388000018
2002-02-25,-9999
2002-02-26,-9999
2002-02-27,-9999
